Tema;Subtema;Posible pregunta;Respuesta
Exámenes;Inscripción pendiente;Me inscribí para rendir una materia y me figura pendiente. ¿Está bien que me figure así?;SÍ. Apenas te inscribís a rendir un examen final, el estado siempre te va a figurar pendiente, hasta que se actualice y cambie a aceptada o rechazada.
Mesas Especiales;;¿Qué requisitos tengo que cumplir para rendir en mesa especial?;"Para rendir en mesa especial debés cumplir AL MENOS UNO de estos requisitos:

1- Haber aprobado COMO MÍNIMO esta cantidad de materias:

 - CP19: 27 materias.
 - LA19: 27 materias.
 - LE19: 25 materias.
 - LL25: 21 materias.

2- O haberse inscripto a cursar en hasta 2 materias en el cuatrimestre/bimestre en el que se encuentra la mesa especial."
Mesas Especiales;;¿La tesis me cuenta como materia si quiero rendir en mesa especial?;Sí, la Tesis final de grado, las Prácticas de Trabajo, las Prácticas Socioeducativas, los Talleres, o similares, son consideradas materias que forman parte del plan de estudios.
Mesas Especiales;;¿Puedo rendir dos materias en mesa especial?;NO. En mesa especial se puede rendir una sola materia, en condición de libre o regular.
Mesas Especiales;;¿Puedo rendir libre en mesa especial?;SI. En mesa especial podés rendir regular o libre, y siempre una sola materia.
Mesas Especiales;;¿Qué pasa si no me presento a rendir en mesa especial?;Si estás AUSENTE en una mesa especial (sin justificar) no te podés presentar a la siguiente mesa especial (cualquier materia). O sea, no te podés presentar en abril si estuviste ausente en septiembre, o no te podés presentar en septiembre si estuviste ausente en abril.
Mesas Especiales;;¿Cuándo son las inscripciones para rendir en mesa especial?;"Para materias cuatrimestrales, las inscripciones son los 3 primeros días de clase del cuatrimestre.
Para materias bimestrales, se habilitará un periodo especial de inscripción para estas mesas. "
Mesas Especiales;;Si apruebo una materia cuatrimestral en mesa especial, ¿puedo cursar materias correlativas?;SÍ. Una materia aprobada en mesa especial te habilita a cursar materias correlativas durante el cuatrimestre en que se encuentra dicha mesa especial.
Mesas Especiales;;Si apruebo una materia bimestral en mesa especial, ¿puedo cursar materias correlativas?;NO. Una materia aprobada en mesa especial, no te habilita a cursar materias correlativas durante el cuatrimestre en que se encuentra la mesa especial.
Mesas Especiales;;¿La fecha del examen en mesa especial es la que figura en SIU Guaraní?;"NO. La fecha del examen la elige la cátedra con los estudiantes incriptos a rendir entre el 1 y 10 de abril/septiembre, para materias cuatrimestrales; y para las bimestrales, dentro del periodo especial de inscripción."
Mesas Especiales;;Si no alcanzo la cantidad mínima de materias aprobadas, ¿puedo igualmente rendir en mesa especial?;SÍ. Si no alcanzás la cantidad mínima de materias, y te has inscirpto a cursar en hasta dos materias, podés rendir en mesa especial.
RAN (y similares);;¿Cuándo tengo RAN?;Tenés rendimiento académico negativo (RAN) si no has aprobado al menos dos materias en un año académico determinado
RAN (y similares);;¿Puedo justificar el RAN?;SÍ. Podés pedir la justificación del RAN, cuando invoques y acredites causas que hayan obstaculizado el normal desarrollo de tu actividad académica en la facultad. 
RAN (y similares);;¿Cómo se solicita la justificación del RAN?;"La solicitud se presenta en Mesa de Entradas por mail a mesa_entradas@fce.uncu.edu.ar hasta el día 30 de abril siguiente a la fecha de conclusión del año académico en el que se haya producido el RAN. 

Debés acompañar la documentación probatoria, que deberá reunir condiciones de calidad, coherencia y precisión, compatibles con las causas y fechas o períodos invocados en dicha justificación."
RAN (y similares);;¿Qué ocurre si me justifican el RAN?;Si te justifican el RAN no se computará a los efectos de la acumulación de los mismos, ni tampoco se computará ese año para el plazo de egreso.
RAN (y similares);;¿Qué sucede si llego al máximo permitido de RAN?;Si acumulás 3 (tres) RAN consecutivos o 4 (cuatro) alternados, debés rendir un examen global de conocimientos para tu reincorporación en la facultad.
RAN (y similares);;Si alcancé la cantidad máxima de RAN, ¿me pueden eximir de rendir el examen global de conocimientos?;"El global de conocimientos no se aplicará cuando hayas aprobado esta cantidad de obligaciones curriculares (OC):

- 36 OC para Contador Público (Plan 2019)
- 33 OC para Licenciatura de Economía (Plan 2019)
- 36 OC para Licenciatura en Administración (Plan 2019)
- 28 OC para Licenciatura en Logística.
"
RAN (y similares);;¿Cuándo alcanzo el rendimiento académico mínimo (RAM)?;"El RAM se logra cuando el estudiante activo apruebe dos obligaciones curriculares en el año académico.

El año académico: es el período comprendido entre el 1 de abril de un año y el 31 de marzo del año siguiente."
Cambios de carrera;;¿Qué debo hacer si me quiero cambiar de carrera?;"Es necesario solicitar expresamente el cambio de carrera por mail dirigido a dirección.estudiantes@fce.uncu.edu.ar, el cual debe contener:

 - Asunto: Cambio de carrera.

Por medio del presente, solicito la inscripción en la carrera de ……….

A tal fin, les remito mis datos:

 - Apellido y Nombre:
 - DNI:
 - Legajo:
 - Carrera actual:
 - Carrera a la que solicita preinscribirse:"
Cambios de carrera;;Si me cambio de carrera, ¿qué materias me reconocen?;"Las materias equivalentes que te reconocen son las correspondientes a las materias que tenés aprobadas en el momento de solicitar el cambio. 

Si posteriormente aprobás materias en tu carrera de origen, debés pedir expresamente el reconocimiento de las equivalencias."
Ayudantías;;¿Qué requisitos necesito si quiero hacer una Ayudantía ad-honorem?;"La Ord. N° 001/2018-CD establece que podrán realizar ayudantías los estudiantes que hicieron reinscripción anual y tienen aprobada la materia a cuya cátedra solicita la ayudantía.

Ordenanza 001/2018-CD: chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://fce.uncuyo.edu.ar/upload/ord-cd-01-2018-ayudantia-estudiantil-ad-honorem.pdf"
Ayudantías;;¿Cuándo me inscribo para realizar una ayudantía?;Según las fechas en la programación anual, que podés consultar en este enlace: http://fce.uncuyo.edu.ar/infoacademica
Ayudantías;;¿Qué debo presentar para realizar una ayudantía?;"Para realizar una ayudantía debés presentar esta documentarción:

 - Formulario de Solicitud (Anexo I)
 - Curriculum vitae del estudiante.
 - Plan de actividades a desarrollar (Anexo II)

Para descargar los Anexos, hacé clic aquí https://fce.uncuyo.edu.ar/colaboracin-ad-honorem

Recordá que te podés presentar hasta un máximo de dos cátedras simultáneamente."
Ayudantías;;¿Dónde presento la documentación para realizar una ayudantía?;Debés enviar toda la documentación por correo electrónico a mesa_entradas@fce.uncu.edu.ar dentro del plazo establecido.
Ayudantías;;¿Cuánto dura una ayudantía?;Como mínimo: 1 cuatrimestre. Como máximo: 1 ciclo académico. Y la misma puede ser renovada.
Ayudantías;;¿Qué carga horaria tiene una ayudantía?;La carga horaria de una ayudantía es de 4 horas semanales en promedio.
Ayudantías;;¿Qué actividades se desempeñan en una ayudantía?;"Podrás desempeñar estas actividades:

 - Asistir al 50% de todas las clases.
 - Participar en confección de material didáctico, práctico, bibliográfico y de estudio.
 - Informar a los docentes sobre las dificultades que se advierten en la comprensión y estudio de los contenidos.
 - Colaborar y/o participar en actividades de investigación relacionadas con la cátedra.
 - Realizar cualquier otra actividad que el profesor titular y/o encargado considere de interés para el desarrollo académico de la cátedra. "
Ayudantías;;¿Cómo me evalúan la ayudantía ad-honorme?;Una vez que finalices la ayudantía, el profesor titular la calificará como MUY SATISFACTORIO, SATISFACTORIO, NO SATISFACTORIO. (Anexo III).
Ayudantías;;¿Puedo arrepentirme de realizar la ayudantía?;SÍ. Podés desistir en cualquier momento del proceso por medio del Anexo IV.
